INFO 2024-07-30 15:00:01,472 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-30 15:00:01,736 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\copyreg.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,736 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\management\color.py first seen with mtime 1721638515.1158824
DEBUG 2024-07-30 15:00:01,736 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\backends\__init__.py first seen with mtime 1721638515.256243
DEBUG 2024-07-30 15:00:01,737 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\serializers\__init__.py first seen with mtime 1721638515.1308422
DEBUG 2024-07-30 15:00:01,737 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\auth\base_user.py first seen with mtime 1721638513.893826
DEBUG 2024-07-30 15:00:01,737 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\fields\reverse_related.py first seen with mtime 1721638515.1874278
DEBUG 2024-07-30 15:00:01,738 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\filters.py first seen with mtime 1721638513.429863
DEBUG 2024-07-30 15:00:01,738 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\validators.py first seen with mtime 1721638515.0879574
DEBUG 2024-07-30 15:00:01,739 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\auth\management\__init__.py first seen with mtime 1721638514.0259354
DEBUG 2024-07-30 15:00:01,739 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\mysql\operations.py first seen with mtime 1721638515.1483386
DEBUG 2024-07-30 15:00:01,739 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\constants.py first seen with mtime 1721638515.1754603
DEBUG 2024-07-30 15:00:01,740 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\html.py first seen with mtime 1721638515.2822387
DEBUG 2024-07-30 15:00:01,740 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\loaders\cached.py first seen with mtime 1721638515.2602327
DEBUG 2024-07-30 15:00:01,740 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\asyncio\format_helpers.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,740 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\ipv6.py first seen with mtime 1721638515.2832384
DEBUG 2024-07-30 15:00:01,741 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\email\base64mime.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,741 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\DLLs\_zoneinfo.pyd first seen with mtime 1717683002.0
DEBUG 2024-07-30 15:00:01,741 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\contextvars.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,741 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\cache.py first seen with mtime 1721638515.274196
DEBUG 2024-07-30 15:00:01,742 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\queue.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,742 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\tokens.py first seen with mtime 1721638512.8731983
DEBUG 2024-07-30 15:00:01,742 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\templatetags\l10n.py first seen with mtime 1721638515.2622278
DEBUG 2024-07-30 15:00:01,742 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\sites\requests.py first seen with mtime 1721638514.9291275
DEBUG 2024-07-30 15:00:01,743 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1721638515.1834383
DEBUG 2024-07-30 15:00:01,743 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\forms\boundfield.py first seen with mtime 1721638515.198398
DEBUG 2024-07-30 15:00:01,744 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\forms\renderers.py first seen with mtime 1721638515.200393
DEBUG 2024-07-30 15:00:01,744 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\checks\security\__init__.py first seen with mtime 1721638515.0999253
DEBUG 2024-07-30 15:00:01,744 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1721638515.2731988
DEBUG 2024-07-30 15:00:01,744 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\urllib\request.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,745 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\storage\__init__.py first seen with mtime 1721638515.105909
DEBUG 2024-07-30 15:00:01,745 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\enums.py first seen with mtime 1721638515.1764574
DEBUG 2024-07-30 15:00:01,745 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\urls\conf.py first seen with mtime 1721638515.2692094
DEBUG 2024-07-30 15:00:01,746 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\itercompat.py first seen with mtime 1721638515.2842352
DEBUG 2024-07-30 15:00:01,746 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\asyncio\base_tasks.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,746 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\fields\json.py first seen with mtime 1721638515.184435
DEBUG 2024-07-30 15:00:01,746 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\email\headerregistry.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,747 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\storage\handler.py first seen with mtime 1721638515.1069067
DEBUG 2024-07-30 15:00:01,747 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1721638515.141355
DEBUG 2024-07-30 15:00:01,747 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\fields\proxy.py first seen with mtime 1721638515.1854331
DEBUG 2024-07-30 15:00:01,748 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\urls\converters.py first seen with mtime 1721638515.2692094
DEBUG 2024-07-30 15:00:01,748 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\mail\message.py first seen with mtime 1721638515.1108959
DEBUG 2024-07-30 15:00:01,748 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\functools.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,748 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\importlib\__init__.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,749 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\decorators.py first seen with mtime 1721638513.4288661
DEBUG 2024-07-30 15:00:01,749 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1721638513.8968182
